,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST5,FTA_RATE_RANK_LAST5,TOV_PCT_RANK_LAST5,OREB_PCT_RANK_LAST5,OPP_EFG_PCT_RANK_LAST5,OPP_FTA_RATE_RANK_LAST5,OPP_TOV_PCT_RANK_LAST5,OPP_OREB_PCT_RANK_LAST5
81,52.0,113.0,30.0,3.0,13.0,28.0,2.0,13.0,14.0,7.0,22.0
82,69.0,123.0,0.0,13.0,21.0,5.0,22.0,5.0,11.0,8.0,6.0
83,52.0,97.0,30.0,14.0,18.0,8.0,26.0,4.0,3.0,11.0,4.0
84,67.0,125.0,0.0,7.0,27.0,18.0,19.0,6.0,17.0,18.0,26.0
85,64.0,130.0,30.0,21.0,1.0,22.0,16.0,19.0,27.0,24.0,5.0
86,59.0,121.0,0.0,8.0,10.0,9.0,7.0,25.0,28.0,13.0,28.0
87,51.0,109.0,30.0,30.0,4.0,27.0,5.0,2.0,26.0,14.0,10.0
88,48.0,111.0,0.0,27.0,28.0,19.0,11.0,9.0,5.0,27.0,30.0
89,71.0,125.0,30.0,4.0,5.0,1.0,24.0,21.0,30.0,4.0,1.0
90,49.0,102.0,0.0,5.0,12.0,7.0,30.0,3.0,6.0,3.0,11.0
91,48.0,111.0,30.0,9.0,30.0,30.0,20.0,27.0,10.0,6.0,9.0
92,66.0,123.0,0.0,16.0,26.0,13.0,17.0,16.0,9.0,22.0,20.0
93,62.0,121.0,30.0,11.0,6.0,11.0,18.0,15.0,25.0,9.0,7.0
94,60.0,136.0,0.0,12.0,20.0,2.0,10.0,20.0,12.0,29.0,27.0
95,59.0,126.0,30.0,22.0,2.0,3.0,9.0,23.0,22.0,26.0,12.0
96,67.0,122.0,0.0,26.0,24.0,14.0,14.0,18.0,15.0,20.0,19.0
97,50.0,99.0,30.0,25.0,19.0,15.0,12.0,24.0,1.0,17.0,13.0
98,43.0,103.0,0.0,19.0,17.0,24.0,6.0,12.0,29.0,25.0,18.0
99,57.0,105.0,30.0,29.0,3.0,25.0,3.0,29.0,21.0,10.0,3.0
100,61.0,96.0,0.0,18.0,16.0,16.0,8.0,11.0,13.0,2.0,29.0
101,47.0,87.0,30.0,15.0,22.0,21.0,29.0,10.0,18.0,1.0,23.0
102,44.0,95.0,0.0,17.0,15.0,23.0,13.0,5.0,11.0,8.0,6.0
103,60.0,112.0,30.0,14.0,18.0,8.0,26.0,14.0,7.0,16.0,14.0
104,58.0,104.0,0.0,28.0,25.0,26.0,15.0,1.0,4.0,19.0,15.0
105,51.0,112.0,30.0,6.0,9.0,6.0,20.0,26.0,19.0,23.0,21.0
