,TEAM,PTS_1H,PTS,HOME,OPP_EFG_PCT_RANK_LAST5,OPP_FTA_RATE_RANK_LAST5,OPP_TOV_PCT_RANK_LAST5,OPP_OREB_PCT_RANK_LAST5,OPP_EFG_PCT_RANK_LAST10,OPP_FTA_RATE_RANK_LAST10,OPP_TOV_PCT_RANK_LAST10,OPP_OREB_PCT_RANK_LAST10,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20
339,MIL,57,100,True,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
340,OKC,50,107,False,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
341,NOP,41,83,True,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
342,POR,57,100,False,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
343,SAS,62,116,True,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
344,PHI,61,122,False,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
345,IND,73,134,True,10.0,25.0,9.0,9.0,22.0,28.0,18.0,16.0,19.0,30.0,8.0,29.0
346,UTA,64,123,False,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
347,WAS,56,108,True,30.0,17.0,30.0,10.0,30.0,12.0,30.0,15.0,28.0,15.0,29.0,11.0
348,MIN,60,96,False,27.0,19.0,14.0,24.0,26.0,22.0,15.0,22.0,10.0,26.0,17.0,20.0
349,BKN,48,94,True,2.0,29.0,8.0,21.0,1.0,30.0,4.0,11.0,2.0,29.0,6.0,1.0
350,BOS,77,143,False,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
351,MIA,64,110,True,5.0,6.0,28.0,3.0,2.0,5.0,29.0,19.0,1.0,2.0,30.0,12.0
352,DEN,41,84,False,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
353,NYK,62,122,True,14.0,12.0,21.0,4.0,7.0,19.0,21.0,8.0,7.0,20.0,26.0,10.0
354,SAC,75,134,False,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
355,GSW,72,133,True,19.0,27.0,25.0,8.0,29.0,26.0,16.0,3.0,25.0,19.0,13.0,7.0
356,CHI,57,132,False,7.0,1.0,27.0,30.0,9.0,1.0,28.0,29.0,16.0,1.0,25.0,25.0
357,LAL,73,141,True,24.0,21.0,26.0,12.0,16.0,24.0,8.0,13.0,20.0,14.0,22.0,6.0
358,CHA,52,106,False,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
359,DET,52,113,True,3.0,8.0,18.0,6.0,17.0,15.0,11.0,4.0,30.0,17.0,20.0,3.0
360,MIN,57,118,False,25.0,18.0,24.0,20.0,25.0,21.0,24.0,21.0,9.0,21.0,12.0,26.0
361,WAS,59,107,True,2.0,29.0,8.0,21.0,1.0,30.0,4.0,11.0,2.0,29.0,6.0,1.0
362,MEM,49,105,False,8.0,5.0,3.0,1.0,8.0,8.0,20.0,2.0,6.0,9.0,14.0,9.0
363,MIA,42,96,True,6.0,11.0,2.0,29.0,20.0,13.0,3.0,27.0,21.0,10.0,2.0,28.0
364,POR,57,137,False,12.0,26.0,20.0,17.0,14.0,25.0,12.0,10.0,15.0,24.0,11.0,15.0
365,HOU,63,131,True,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
366,CLE,51,116,False,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
367,MIL,61,126,True,11.0,7.0,23.0,19.0,3.0,2.0,23.0,17.0,3.0,6.0,10.0,8.0
368,PHX,57,132,False,1.0,4.0,16.0,15.0,5.0,11.0,25.0,14.0,13.0,23.0,24.0,21.0
369,DAL,58,109,True,4.0,15.0,12.0,26.0,6.0,10.0,14.0,23.0,8.0,7.0,21.0,22.0
370,OKC,63,140,False,28.0,2.0,6.0,14.0,24.0,6.0,9.0,11.0,22.0,4.0,7.0,18.0
371,SAS,52,114,True,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
372,ATL,68,112,False,13.0,24.0,12.0,13.0,4.0,20.0,22.0,9.0,14.0,16.0,23.0,14.0
373,GSW,69,134,True,20.0,10.0,29.0,27.0,28.0,9.0,27.0,18.0,29.0,13.0,18.0,17.0
374,DEN,54,114,False,26.0,9.0,5.0,11.0,18.0,18.0,7.0,26.0,27.0,28.0,4.0,19.0
375,IND,62,109,True,14.0,12.0,21.0,4.0,7.0,19.0,21.0,8.0,7.0,20.0,26.0,10.0
376,NYK,50,108,False,27.0,19.0,14.0,24.0,26.0,22.0,15.0,22.0,10.0,26.0,17.0,20.0
377,BKN,49,103,True,29.0,20.0,10.0,7.0,27.0,14.0,5.0,6.0,5.0,5.0,19.0,5.0
378,UTA,59,124,False,18.0,22.0,1.0,22.0,12.0,16.0,1.0,20.0,12.0,12.0,5.0,13.0
379,NOP,77,153,True,30.0,17.0,30.0,10.0,30.0,12.0,30.0,15.0,28.0,15.0,29.0,11.0
380,POR,66,109,False,9.0,13.0,7.0,23.0,10.0,7.0,6.0,24.0,4.0,11.0,3.0,23.0
381,OKC,58,111,True,22.0,28.0,17.0,28.0,11.0,23.0,13.0,30.0,24.0,27.0,16.0,27.0
382,LAL,64,116,False,15.0,3.0,22.0,25.0,13.0,3.0,17.0,25.0,11.0,8.0,15.0,24.0
383,LAC,77,127,True,7.0,1.0,27.0,30.0,9.0,1.0,28.0,29.0,16.0,1.0,25.0,25.0
384,MIL,58,122,False,21.0,30.0,4.0,2.0,23.0,27.0,26.0,1.0,26.0,25.0,28.0,4.0
385,DET,56,113,True,17.0,16.0,15.0,5.0,15.0,17.0,10.0,7.0,18.0,18.0,27.0,2.0
386,CLE,72,126,False,23.0,23.0,11.0,16.0,19.0,29.0,2.0,5.0,17.0,22.0,1.0,16.0
