,TEAM,PTS_1H,PTS,HOME,EFG_PCT_RANK_LAST20,FTA_RATE_RANK_LAST20,TOV_PCT_RANK_LAST20,OREB_PCT_RANK_LAST20,OPP_EFG_PCT_RANK_LAST20,OPP_FTA_RATE_RANK_LAST20,OPP_TOV_PCT_RANK_LAST20,OPP_OREB_PCT_RANK_LAST20,PTS_1H_AVG,PTS_AVG
207,DET,47.0,99.0,30.0,17.0,17.0,22.0,13.0,18.0,22.0,1.0,15.0,57.0,115.55
208,PHX,79.0,140.0,0.0,1.0,3.0,30.0,22.0,11.0,21.0,10.0,25.0,63.1,121.35
209,WAS,58.0,112.0,30.0,28.0,27.0,18.0,20.0,6.0,9.0,21.0,23.0,57.65,112.8
210,MEM,50.0,91.0,0.0,26.0,22.0,29.0,24.0,1.0,2.0,30.0,11.0,52.95,104.5
211,BOS,70.0,131.0,30.0,5.0,23.0,2.0,25.0,21.0,10.0,2.0,27.0,62.2,120.2
212,IND,55.0,115.0,0.0,9.0,28.0,19.0,16.0,29.0,12.0,12.0,3.0,61.55,118.65
213,CHA,44.0,99.0,30.0,21.0,29.0,20.0,28.0,27.0,28.0,5.0,19.0,50.75,107.25
214,LAC,43.0,103.0,0.0,3.0,12.0,7.0,15.0,7.0,4.0,16.0,9.0,57.8,119.8
215,MIA,43.0,95.0,30.0,27.0,20.0,14.0,19.0,15.0,8.0,15.0,24.0,53.15,106.6
216,HOU,44.0,90.0,0.0,29.0,9.0,13.0,6.0,3.0,30.0,6.0,1.0,55.55,114.15
217,MIN,48.0,111.0,30.0,7.0,7.0,23.0,12.0,12.0,27.0,14.0,17.0,57.85,115.45
218,TOR,63.0,127.0,0.0,22.0,15.0,17.0,14.0,4.0,11.0,3.0,22.0,56.55,111.8
219,OKC,47.0,135.0,30.0,8.0,21.0,5.0,26.0,22.0,5.0,8.0,30.0,60.6,119.8
220,MIL,63.0,108.0,0.0,13.0,10.0,3.0,30.0,28.0,15.0,29.0,10.0,59.55,117.7
221,UTA,53.0,123.0,30.0,12.0,2.0,28.0,1.0,14.0,17.0,26.0,2.0,62.85,123.85
222,POR,63.0,103.0,0.0,30.0,11.0,27.0,8.0,8.0,19.0,27.0,13.0,53.9,106.15
223,DEN,60.0,112.0,30.0,16.0,16.0,24.0,3.0,25.0,26.0,18.0,29.0,58.6,112.2
224,BKN,67.0,136.0,0.0,19.0,25.0,15.0,27.0,19.0,29.0,7.0,28.0,54.05,110.65
225,PHI,51.0,121.0,30.0,23.0,5.0,1.0,11.0,13.0,25.0,17.0,20.0,58.95,113.75
226,GSW,64.0,134.0,0.0,11.0,30.0,16.0,4.0,30.0,13.0,19.0,16.0,59.8,123.6
227,ATL,64.0,141.0,30.0,24.0,8.0,6.0,7.0,10.0,18.0,23.0,12.0,59.9,118.9
228,SAC,71.0,123.0,0.0,4.0,24.0,12.0,18.0,20.0,14.0,22.0,6.0,61.7,120.0
229,CHI,52.0,115.0,30.0,14.0,18.0,11.0,17.0,23.0,20.0,11.0,7.0,56.25,116.4
230,LAL,59.0,113.0,0.0,2.0,1.0,4.0,29.0,5.0,6.0,20.0,5.0,63.6,122.7
231,NYK,59.0,105.0,30.0,20.0,19.0,21.0,2.0,9.0,1.0,24.0,26.0,55.25,111.95
232,MIL,60.0,129.0,0.0,13.0,10.0,3.0,30.0,16.0,23.0,25.0,21.0,59.55,117.7
233,DAL,65.0,117.0,30.0,10.0,6.0,10.0,23.0,14.0,17.0,26.0,2.0,58.7,118.1
234,CLE,67.0,117.0,0.0,6.0,13.0,9.0,21.0,26.0,3.0,13.0,18.0,58.9,116.75
235,SAS,45.0,101.0,30.0,25.0,26.0,25.0,10.0,2.0,7.0,9.0,8.0,54.2,111.4
236,LAC,65.0,136.0,0.0,3.0,12.0,7.0,15.0,24.0,24.0,28.0,4.0,57.8,119.8
237,DET,59.0,125.0,30.0,17.0,17.0,22.0,13.0,15.0,8.0,15.0,24.0,57.0,115.55
238,MIA,56.0,110.0,0.0,27.0,20.0,14.0,19.0,11.0,21.0,10.0,25.0,53.15,106.6
239,WAS,59.0,102.0,30.0,28.0,27.0,18.0,20.0,7.0,4.0,16.0,9.0,57.65,112.8
240,PHX,63.0,120.0,0.0,1.0,3.0,30.0,22.0,30.0,13.0,19.0,16.0,63.1,121.35
241,ATL,66.0,129.0,30.0,24.0,8.0,6.0,7.0,6.0,9.0,21.0,23.0,59.9,118.9
242,SAC,71.0,133.0,0.0,4.0,24.0,12.0,18.0,27.0,28.0,5.0,19.0,61.7,120.0
243,IND,64.0,122.0,30.0,9.0,28.0,19.0,16.0,23.0,20.0,11.0,7.0,61.55,118.65
244,TOR,47.0,106.0,0.0,22.0,15.0,17.0,14.0,12.0,27.0,14.0,17.0,56.55,111.8
245,HOU,66.0,135.0,30.0,29.0,9.0,13.0,6.0,22.0,5.0,8.0,30.0,55.55,114.15
246,GSW,57.0,121.0,0.0,11.0,30.0,16.0,4.0,21.0,10.0,2.0,27.0,59.8,123.6
247,MEM,47.0,101.0,30.0,26.0,22.0,29.0,24.0,10.0,18.0,23.0,12.0,52.95,104.5
248,ORL,54.0,108.0,0.0,18.0,4.0,26.0,5.0,3.0,30.0,6.0,1.0,53.45,108.05
249,MIN,59.0,106.0,30.0,7.0,7.0,23.0,12.0,18.0,22.0,1.0,15.0,57.85,115.45
250,CHA,42.0,106.0,0.0,21.0,29.0,20.0,28.0,4.0,11.0,3.0,22.0,50.75,107.25
251,OKC,73.0,126.0,30.0,8.0,21.0,5.0,26.0,29.0,12.0,12.0,3.0,60.6,119.8
252,NOP,58.0,114.0,0.0,15.0,14.0,8.0,9.0,26.0,3.0,13.0,18.0,60.15,117.15
253,SAS,65.0,113.0,30.0,25.0,26.0,25.0,10.0,17.0,16.0,4.0,14.0,54.2,111.4
254,POR,55.0,108.0,0.0,30.0,11.0,27.0,8.0,8.0,19.0,27.0,13.0,53.9,106.15
255,DEN,59.0,120.0,30.0,16.0,16.0,24.0,3.0,25.0,26.0,18.0,29.0,58.6,112.2
256,LAL,60.0,114.0,0.0,2.0,1.0,4.0,29.0,1.0,2.0,30.0,11.0,63.6,122.7
257,BOS,46.0,105.0,30.0,5.0,23.0,2.0,25.0,9.0,1.0,24.0,26.0,62.2,120.2
258,IND,58.0,105.0,0.0,9.0,28.0,19.0,16.0,5.0,6.0,20.0,5.0,61.55,118.65
259,NYK,51.0,109.0,30.0,20.0,19.0,21.0,2.0,27.0,28.0,5.0,19.0,55.25,111.95
260,CLE,51.0,108.0,0.0,6.0,13.0,9.0,21.0,21.0,10.0,2.0,27.0,58.9,116.75
261,MEM,58.0,101.0,30.0,26.0,22.0,29.0,24.0,2.0,7.0,9.0,8.0,52.95,104.5
262,PHI,71.0,127.0,0.0,23.0,5.0,1.0,11.0,28.0,15.0,29.0,10.0,58.95,113.75
263,UTA,61.0,124.0,30.0,12.0,2.0,28.0,1.0,19.0,29.0,7.0,28.0,62.85,123.85
264,CHI,57.0,117.0,0.0,14.0,18.0,11.0,17.0,29.0,12.0,12.0,3.0,56.25,116.4
265,CHA,59.0,110.0,30.0,21.0,29.0,20.0,28.0,20.0,14.0,22.0,6.0,50.75,107.25
266,DET,57.0,121.0,0.0,17.0,17.0,22.0,13.0,2.0,7.0,9.0,8.0,57.0,115.55
267,CLE,64.0,128.0,30.0,6.0,13.0,9.0,21.0,24.0,24.0,28.0,4.0,58.9,116.75
268,LAC,66.0,125.0,0.0,3.0,12.0,7.0,15.0,11.0,21.0,10.0,25.0,57.8,119.8
269,WAS,60.0,109.0,30.0,28.0,27.0,18.0,20.0,15.0,8.0,15.0,24.0,57.65,112.8
270,SAC,55.0,106.0,0.0,4.0,24.0,12.0,18.0,7.0,4.0,16.0,9.0,61.7,120.0
271,MIA,59.0,115.0,30.0,27.0,20.0,14.0,19.0,23.0,20.0,11.0,7.0,53.15,106.6
272,NOP,61.0,110.0,0.0,15.0,14.0,8.0,9.0,12.0,27.0,14.0,17.0,60.15,117.15
273,HOU,54.0,99.0,30.0,29.0,9.0,13.0,6.0,17.0,16.0,4.0,14.0,55.55,114.15
274,DAL,48.0,87.0,0.0,10.0,6.0,10.0,23.0,3.0,30.0,6.0,1.0,58.7,118.1
275,MIN,52.0,121.0,30.0,7.0,7.0,23.0,12.0,16.0,23.0,25.0,21.0,57.85,115.45
276,ORL,57.0,108.0,0.0,18.0,4.0,26.0,5.0,26.0,3.0,13.0,18.0,53.45,108.05
277,SAS,51.0,98.0,30.0,25.0,26.0,25.0,10.0,18.0,22.0,1.0,15.0,54.2,111.4
278,DEN,51.0,100.0,0.0,16.0,16.0,24.0,3.0,4.0,11.0,3.0,22.0,58.6,112.2
279,OKC,47.0,105.0,30.0,8.0,21.0,5.0,26.0,8.0,19.0,27.0,13.0,60.6,119.8
280,PHX,64.0,136.0,0.0,1.0,3.0,30.0,22.0,13.0,25.0,17.0,20.0,63.1,121.35
281,BKN,61.0,120.0,30.0,19.0,25.0,15.0,27.0,6.0,9.0,21.0,23.0,54.05,110.65
282,MIL,65.0,116.0,0.0,13.0,10.0,3.0,30.0,25.0,26.0,18.0,29.0,59.55,117.7
283,POR,67.0,119.0,30.0,30.0,11.0,27.0,8.0,14.0,17.0,26.0,2.0,53.9,106.15
284,LAL,56.0,122.0,0.0,2.0,1.0,4.0,29.0,30.0,13.0,19.0,16.0,63.6,122.7
285,ATL,67.0,138.0,30.0,24.0,8.0,6.0,7.0,9.0,1.0,24.0,26.0,59.9,118.9
286,IND,66.0,124.0,0.0,9.0,28.0,19.0,16.0,1.0,2.0,30.0,11.0,61.55,118.65
287,BOS,81.0,129.0,30.0,5.0,23.0,2.0,25.0,27.0,28.0,5.0,19.0,62.2,120.2
288,UTA,49.0,103.0,0.0,12.0,2.0,28.0,1.0,5.0,6.0,20.0,5.0,62.85,123.85
289,NYK,57.0,118.0,30.0,20.0,19.0,21.0,2.0,28.0,15.0,29.0,10.0,55.25,111.95
290,TOR,53.0,118.0,0.0,22.0,15.0,17.0,14.0,20.0,14.0,22.0,6.0,56.55,111.8
291,CHI,63.0,107.0,30.0,14.0,18.0,11.0,17.0,22.0,5.0,8.0,30.0,56.25,116.4
292,PHI,50.0,107.0,0.0,23.0,5.0,1.0,11.0,10.0,18.0,23.0,12.0,58.95,113.75
293,GSW,52.0,119.0,30.0,11.0,30.0,16.0,4.0,19.0,29.0,7.0,28.0,59.8,123.6
294,NYK,46.0,113.0,0.0,20.0,19.0,21.0,2.0,29.0,12.0,12.0,3.0,55.25,111.95
295,CHA,43.0,92.0,30.0,21.0,29.0,20.0,28.0,5.0,6.0,20.0,5.0,50.75,107.25
296,LAC,52.0,108.0,0.0,3.0,12.0,7.0,15.0,2.0,7.0,9.0,8.0,57.8,119.8
297,CLE,56.0,118.0,30.0,6.0,13.0,9.0,21.0,15.0,8.0,15.0,24.0,58.9,116.75
298,NOP,60.0,112.0,0.0,15.0,14.0,8.0,9.0,1.0,2.0,30.0,11.0,60.15,117.15
299,BOS,50.0,118.0,30.0,5.0,23.0,2.0,25.0,17.0,16.0,4.0,14.0,62.2,120.2
300,UTA,57.0,114.0,0.0,12.0,2.0,28.0,1.0,13.0,25.0,17.0,20.0,62.85,123.85
301,BKN,71.0,147.0,30.0,19.0,25.0,15.0,27.0,28.0,15.0,29.0,10.0,54.05,110.65
302,PHX,62.0,118.0,0.0,1.0,3.0,30.0,22.0,7.0,4.0,16.0,9.0,63.1,121.35
303,MIA,49.0,105.0,30.0,27.0,20.0,14.0,19.0,6.0,9.0,21.0,23.0,53.15,106.6
304,LAL,60.0,119.0,0.0,2.0,1.0,4.0,29.0,12.0,27.0,14.0,17.0,63.6,122.7
305,HOU,78.0,135.0,30.0,29.0,9.0,13.0,6.0,9.0,1.0,24.0,26.0,55.55,114.15
306,SAC,47.0,103.0,0.0,4.0,24.0,12.0,18.0,21.0,10.0,2.0,27.0,61.7,120.0
307,MEM,50.0,94.0,30.0,26.0,22.0,29.0,24.0,23.0,20.0,11.0,7.0,52.95,104.5
308,MIN,49.0,107.0,0.0,7.0,7.0,23.0,12.0,4.0,11.0,3.0,22.0,57.85,115.45
309,OKC,47.0,101.0,30.0,8.0,21.0,5.0,26.0,3.0,30.0,6.0,1.0,60.6,119.8
310,WAS,54.0,118.0,0.0,28.0,27.0,18.0,20.0,26.0,3.0,13.0,18.0,57.65,112.8
311,SAS,58.0,113.0,30.0,25.0,26.0,25.0,10.0,11.0,21.0,10.0,25.0,54.2,111.4
312,ORL,77.0,129.0,0.0,18.0,4.0,26.0,5.0,16.0,23.0,25.0,21.0,53.45,108.05
313,DAL,61.0,131.0,30.0,10.0,6.0,10.0,23.0,18.0,22.0,1.0,15.0,58.7,118.1
314,MIL,56.0,107.0,0.0,13.0,10.0,3.0,30.0,8.0,19.0,27.0,13.0,59.55,117.7
315,DEN,56.0,113.0,30.0,16.0,16.0,24.0,3.0,14.0,17.0,26.0,2.0,58.6,112.2
316,PHI,55.0,104.0,0.0,23.0,5.0,1.0,11.0,25.0,26.0,18.0,29.0,58.95,113.75
317,POR,58.0,130.0,30.0,30.0,11.0,27.0,8.0,19.0,29.0,7.0,28.0,53.9,106.15
318,OKC,61.0,104.0,0.0,8.0,21.0,5.0,26.0,24.0,24.0,28.0,4.0,60.6,119.8
319,DET,70.0,120.0,30.0,17.0,17.0,22.0,13.0,4.0,11.0,3.0,22.0,57.0,115.55
320,MEM,53.0,110.0,0.0,26.0,22.0,29.0,24.0,27.0,28.0,5.0,19.0,52.95,104.5
321,IND,51.0,116.0,30.0,9.0,28.0,19.0,16.0,21.0,10.0,2.0,27.0,61.55,118.65
322,TOR,61.0,125.0,0.0,22.0,15.0,17.0,14.0,30.0,13.0,19.0,16.0,56.55,111.8
323,ATL,57.0,126.0,30.0,24.0,8.0,6.0,7.0,22.0,5.0,8.0,30.0,59.9,118.9
324,PHX,56.0,98.0,0.0,1.0,3.0,30.0,22.0,18.0,22.0,1.0,15.0,63.1,121.35
325,ORL,51.0,113.0,30.0,18.0,4.0,26.0,5.0,6.0,9.0,21.0,23.0,53.45,108.05
326,CHI,53.0,104.0,0.0,14.0,18.0,11.0,17.0,25.0,26.0,18.0,29.0,56.25,116.4
327,POR,42.0,96.0,30.0,30.0,11.0,27.0,8.0,20.0,14.0,22.0,6.0,53.9,106.15
328,WAS,61.0,118.0,0.0,28.0,27.0,18.0,20.0,24.0,24.0,28.0,4.0,57.65,112.8
329,DET,63.0,104.0,30.0,17.0,17.0,22.0,13.0,11.0,21.0,10.0,25.0,57.0,115.55
330,MIA,51.0,109.0,0.0,27.0,20.0,14.0,19.0,5.0,6.0,20.0,5.0,53.15,106.6
331,NYK,61.0,125.0,30.0,20.0,19.0,21.0,2.0,7.0,4.0,16.0,9.0,55.25,111.95
